artist,title,album,year,mb_recording_id,mb_artist_id
Kanye West,24,,,d988e672-f00f-481d-8273-bc784986ac1b,164f0d73-1234-4e2c-8743-d77bf2191051
Kanye West,2 Words,,,dcb7768f-6802-460c-bddb-87873f2552f9,164f0d73-1234-4e2c-8743-d77bf2191051
Kanye West,A Day in Mama's Life,,,dd0eb911-7602-4396-a3f7-eb9ad900c7fa,164f0d73-1234-4e2c-8743-d77bf2191051
Kanye West,#1,,,e0db706f-c0f2-425a-a177-98b3dac4c14d,164f0d73-1234-4e2c-8743-d77bf2191051
Kanye West,30 Hours,,,e71b3d29-cc25-47c3-9f0d-ae054a3d9e39,164f0d73-1234-4e2c-8743-d77bf2191051
Kanye West,2 Words,,,ef0e8cbf-27f2-4bea-96da-bb354f44e7e3,164f0d73-1234-4e2c-8743-d77bf2191051
Kanye West,24,,,f10c405b-7e85-4a3d-b81b-a8296d52d75a,164f0d73-1234-4e2c-8743-d77bf2191051
Kanye West,’03 Electric Relaxation,,,f4b321a3-17b3-45cb-8817-adee20787da0,164f0d73-1234-4e2c-8743-d77bf2191051
Kanye West,A Million and One,,,f8f757d0-e1a1-4b13-8d7c-b14cc887bdd8,164f0d73-1234-4e2c-8743-d77bf2191051
Kanye West,30 Hours,,,ffd3008d-e173-490f-8cc7-a3172760e3a5,164f0d73-1234-4e2c-8743-d77bf2191051
Daft Punk,"1995-11-04: Planet Rose, Nijmegen, Netherlands",,,082eba13-c5bb-4685-992a-e81b9d5a6030,056e4f3e-d505-4dad-8ec1-d04f521cbb56
Daft Punk,(Jingle),,,0fd30808-8881-447c-a845-a4c5e81d5d51,056e4f3e-d505-4dad-8ec1-d04f521cbb56
Daft Punk,"1995-11-18: Le Privé, Avignon, France",,,17b271d2-8e33-4025-84a9-a6a2505d65b4,056e4f3e-d505-4dad-8ec1-d04f521cbb56
Daft Punk,3m20 Safehouse Reunion (Father and Son – RS album version),,,1e779294-125b-4c0d-8a76-f93b77c6e8a9,056e4f3e-d505-4dad-8ec1-d04f521cbb56
Daft Punk,1 more dime (fvlcrvm rwrk),,,21ad70d5-f123-4546-9cf9-0a672500d185,056e4f3e-d505-4dad-8ec1-d04f521cbb56
Daft Punk,[intermission],,,21b4f22e-0a66-47fa-bc96-038de8cadd21,056e4f3e-d505-4dad-8ec1-d04f521cbb56
Daft Punk,2m7s Sweet Dreams (Are Made of This),,,26237bf6-b12d-4bb2-aee5-c14a7f7299d8,056e4f3e-d505-4dad-8ec1-d04f521cbb56
Daft Punk,5m31 Solar Sailer Intro (RS version),,,2906648e-7e49-48e1-a7b3-5ca6ddab4bbc,056e4f3e-d505-4dad-8ec1-d04f521cbb56
